id,age,gender,residence
U00001,26,0,1
U00002,52,1,0
U00003,20,0,1
U00004,23,1,1
U00005,20,0,1
U00006,29,0,0
U00007,23,0,1
U00008,57,1,1
U00009,21,0,1
U00010,25,0,1
U00011,19,0,0
U00012,19,0,1
U00013,24,0,0
U00014,27,1,0
U00015,64,0,0
U00016,19,1,0
U00017,29,0,0
U00018,28,0,0
U00019,19,1,1
U00020,28,1,1
U00021,19,1,0
U00022,19,1,0
U00023,27,1,0
U00024,20,1,1
U00025,19,1,1
U00026,19,1,1
U00027,23,1,0
U00028,19,1,1
U00029,41,1,0
U00030,21,1,1
U00031,19,1,0
U00032,24,0,1
U00033,26,0,0
U00034,19,1,0
U00035,19,1,0
U00036,25,1,1
U00037,53,0,0
U00038,23,0,0
U00039,26,0,0
U00040,27,0,1
U00041,19,1,0
U00042,22,0,1
U00043,50,0,0
U00044,44,1,0
U00045,28,0,0
U00046,28,0,0
U00047,25,1,0
U00048,20,1,0
U00049,21,0,0
U00050,28,0,1
U00051,61,0,0
U00052,59,0,0
U00053,52,0,0
U00054,56,0,0
U00055,34,0,1
U00056,55,0,0
U00057,18,1,1
U00058,53,0,0
